key,tier,bn_quality,language,tokenizer,token_count,word_count_en
T1-01,T1,clean,English,tiktoken_o200k,5.0,3
T1-01,T1,clean,Bengali,tiktoken_o200k,16.0,3
T1-01,T1,clean,Hindi,tiktoken_o200k,16.0,3
T1-01,T1,clean,Arabic,tiktoken_o200k,12.0,3
T1-01,T1,clean,Tamil,tiktoken_o200k,13.0,3
T1-01,T1,clean,Yoruba,tiktoken_o200k,18.0,3
T1-01,T1,clean,English,qwen2.5_7b,5.0,3
T1-01,T1,clean,Bengali,qwen2.5_7b,36.0,3
T1-01,T1,clean,Hindi,qwen2.5_7b,32.0,3
T1-01,T1,clean,Arabic,qwen2.5_7b,15.0,3
T1-01,T1,clean,Tamil,qwen2.5_7b,33.0,3
T1-01,T1,clean,Yoruba,qwen2.5_7b,23.0,3
T1-01,T1,clean,English,mistral_7b_v0.1,6.0,3
T1-01,T1,clean,Bengali,mistral_7b_v0.1,39.0,3
T1-01,T1,clean,Hindi,mistral_7b_v0.1,33.0,3
T1-01,T1,clean,Arabic,mistral_7b_v0.1,36.0,3
T1-01,T1,clean,Tamil,mistral_7b_v0.1,36.0,3
T1-01,T1,clean,Yoruba,mistral_7b_v0.1,25.0,3
T1-02,T1,clean,English,tiktoken_o200k,9.0,5
T1-02,T1,clean,Bengali,tiktoken_o200k,19.0,5
T1-02,T1,clean,Hindi,tiktoken_o200k,17.0,5
T1-02,T1,clean,Arabic,tiktoken_o200k,20.0,5
T1-02,T1,clean,Tamil,tiktoken_o200k,9.0,5
T1-02,T1,clean,Yoruba,tiktoken_o200k,29.0,5
T1-02,T1,clean,English,qwen2.5_7b,9.0,5
T1-02,T1,clean,Bengali,qwen2.5_7b,56.0,5
T1-02,T1,clean,Hindi,qwen2.5_7b,47.0,5
T1-02,T1,clean,Arabic,qwen2.5_7b,23.0,5
T1-02,T1,clean,Tamil,qwen2.5_7b,9.0,5
T1-02,T1,clean,Yoruba,qwen2.5_7b,34.0,5
T1-02,T1,clean,English,mistral_7b_v0.1,10.0,5
T1-02,T1,clean,Bengali,mistral_7b_v0.1,58.0,5
T1-02,T1,clean,Hindi,mistral_7b_v0.1,50.0,5
T1-02,T1,clean,Arabic,mistral_7b_v0.1,57.0,5
T1-02,T1,clean,Tamil,mistral_7b_v0.1,10.0,5
T1-02,T1,clean,Yoruba,mistral_7b_v0.1,36.0,5
T1-03,T1,clean,English,tiktoken_o200k,9.0,8
T1-03,T1,clean,Bengali,tiktoken_o200k,23.0,8
T1-03,T1,clean,Hindi,tiktoken_o200k,18.0,8
T1-03,T1,clean,Arabic,tiktoken_o200k,17.0,8
T1-03,T1,clean,Tamil,tiktoken_o200k,33.0,8
T1-03,T1,clean,Yoruba,tiktoken_o200k,29.0,8
T1-03,T1,clean,English,qwen2.5_7b,9.0,8
T1-03,T1,clean,Bengali,qwen2.5_7b,79.0,8
T1-03,T1,clean,Hindi,qwen2.5_7b,55.0,8
T1-03,T1,clean,Arabic,qwen2.5_7b,19.0,8
T1-03,T1,clean,Tamil,qwen2.5_7b,96.0,8
T1-03,T1,clean,Yoruba,qwen2.5_7b,35.0,8
T1-03,T1,clean,English,mistral_7b_v0.1,9.0,8
T1-03,T1,clean,Bengali,mistral_7b_v0.1,83.0,8
T1-03,T1,clean,Hindi,mistral_7b_v0.1,65.0,8
T1-03,T1,clean,Arabic,mistral_7b_v0.1,40.0,8
T1-03,T1,clean,Tamil,mistral_7b_v0.1,101.0,8
T1-03,T1,clean,Yoruba,mistral_7b_v0.1,44.0,8
T1-04,T1,clean,English,tiktoken_o200k,10.0,10
T1-04,T1,clean,Bengali,tiktoken_o200k,11.0,10
T1-04,T1,clean,Hindi,tiktoken_o200k,19.0,10
T1-04,T1,clean,Arabic,tiktoken_o200k,13.0,10
T1-04,T1,clean,Tamil,tiktoken_o200k,16.0,10
T1-04,T1,clean,Yoruba,tiktoken_o200k,16.0,10
T1-04,T1,clean,English,qwen2.5_7b,10.0,10
T1-04,T1,clean,Bengali,qwen2.5_7b,31.0,10
T1-04,T1,clean,Hindi,qwen2.5_7b,35.0,10
T1-04,T1,clean,Arabic,qwen2.5_7b,17.0,10
T1-04,T1,clean,Tamil,qwen2.5_7b,53.0,10
T1-04,T1,clean,Yoruba,qwen2.5_7b,21.0,10
T1-04,T1,clean,English,mistral_7b_v0.1,10.0,10
T1-04,T1,clean,Bengali,mistral_7b_v0.1,32.0,10
T1-04,T1,clean,Hindi,mistral_7b_v0.1,40.0,10
T1-04,T1,clean,Arabic,mistral_7b_v0.1,42.0,10
T1-04,T1,clean,Tamil,mistral_7b_v0.1,55.0,10
T1-04,T1,clean,Yoruba,mistral_7b_v0.1,22.0,10
T1-05,T1,mixed,English,tiktoken_o200k,14.0,9
T1-05,T1,mixed,Bengali,tiktoken_o200k,17.0,9
T1-05,T1,mixed,Hindi,tiktoken_o200k,19.0,9
T1-05,T1,mixed,Arabic,tiktoken_o200k,25.0,9
T1-05,T1,mixed,Tamil,tiktoken_o200k,26.0,9
T1-05,T1,mixed,Yoruba,tiktoken_o200k,26.0,9
T1-05,T1,mixed,English,qwen2.5_7b,13.0,9
T1-05,T1,mixed,Bengali,qwen2.5_7b,50.0,9
T1-05,T1,mixed,Hindi,qwen2.5_7b,42.0,9
T1-05,T1,mixed,Arabic,qwen2.5_7b,32.0,9
T1-05,T1,mixed,Tamil,qwen2.5_7b,57.0,9
T1-05,T1,mixed,Yoruba,qwen2.5_7b,32.0,9
T1-05,T1,mixed,English,mistral_7b_v0.1,16.0,9
T1-05,T1,mixed,Bengali,mistral_7b_v0.1,50.0,9
T1-05,T1,mixed,Hindi,mistral_7b_v0.1,48.0,9
T1-05,T1,mixed,Arabic,mistral_7b_v0.1,72.0,9
T1-05,T1,mixed,Tamil,mistral_7b_v0.1,66.0,9
T1-05,T1,mixed,Yoruba,mistral_7b_v0.1,31.0,9
T1-06,T1,mixed,English,tiktoken_o200k,18.0,9
T1-06,T1,mixed,Bengali,tiktoken_o200k,23.0,9
T1-06,T1,mixed,Hindi,tiktoken_o200k,22.0,9
T1-06,T1,mixed,Arabic,tiktoken_o200k,29.0,9
T1-06,T1,mixed,Tamil,tiktoken_o200k,24.0,9
T1-06,T1,mixed,Yoruba,tiktoken_o200k,34.0,9
T1-06,T1,mixed,English,qwen2.5_7b,17.0,9
T1-06,T1,mixed,Bengali,qwen2.5_7b,46.0,9
T1-06,T1,mixed,Hindi,qwen2.5_7b,40.0,9
T1-06,T1,mixed,Arabic,qwen2.5_7b,28.0,9
T1-06,T1,mixed,Tamil,qwen2.5_7b,59.0,9
T1-06,T1,mixed,Yoruba,qwen2.5_7b,41.0,9
T1-06,T1,mixed,English,mistral_7b_v0.1,20.0,9
T1-06,T1,mixed,Bengali,mistral_7b_v0.1,48.0,9
T1-06,T1,mixed,Hindi,mistral_7b_v0.1,48.0,9
T1-06,T1,mixed,Arabic,mistral_7b_v0.1,62.0,9
T1-06,T1,mixed,Tamil,mistral_7b_v0.1,59.0,9
T1-06,T1,mixed,Yoruba,mistral_7b_v0.1,46.0,9
T1-07,T1,mixed,English,tiktoken_o200k,10.0,6
T1-07,T1,mixed,Bengali,tiktoken_o200k,13.0,6
T1-07,T1,mixed,Hindi,tiktoken_o200k,13.0,6
T1-07,T1,mixed,Arabic,tiktoken_o200k,14.0,6
T1-07,T1,mixed,Tamil,tiktoken_o200k,19.0,6
T1-07,T1,mixed,Yoruba,tiktoken_o200k,21.0,6
T1-07,T1,mixed,English,qwen2.5_7b,10.0,6
T1-07,T1,mixed,Bengali,qwen2.5_7b,30.0,6
T1-07,T1,mixed,Hindi,qwen2.5_7b,26.0,6
T1-07,T1,mixed,Arabic,qwen2.5_7b,17.0,6
T1-07,T1,mixed,Tamil,qwen2.5_7b,50.0,6
