Key,English,Bengali,Hindi,Arabic,Tamil,Yoruba,,
T1-01,SyntaxError: invalid syntax,সিনট্যাক্স ত্রুটি: অবৈধ সিনট্যাক্স,सिंटैक्स त्रुटी: अमान्य सिंटैक्स,خطأ في بناء الجملة: بناء جملة غير صالح,தொடரியல் பிழை: தவறான தொடரியல்,Àṣìṣe Ìlànà: ìṣètò tí kò tọ́,,Syntax error: Invalid syntax
T1-02,IndentationError: expected an indented block,ইন্ডেন্টেশন ত্রুটি: একটি ইন্ডেন্টেড ব্লক প্রত্যাশিত ছিল,इंडेंटेशन त्रुटि: एक इंडेंटेड ब्लॉक अपेक्षित था,خطأ في المسافة البادئة: كان من المتوقع وجود كتلة ذات مسافة بادئة,IndentationError: expected an indented block,Àṣìṣe ìfàmìsí: ó ń retí pé blọ́ọ̀kì tí a ti gún sí i,,
T1-03,Check that each code block is indented consistently,প্রতিটি কোড ব্লক সামঞ্জস্যপূর্ণভাবে ইন্ডেন্ট করা আছে কিনা তা পরীক্ষা করুন।,सुनिश्चित करें कि प्रत्येक कोड ब्लॉक में इंडेंटेशन एक समान हो।,تأكد من أن كل كتلة برمجية مُنسقة بشكل متسق,ஒவ்வொரு குறியீட்டுத் தொகுதியும் சீராக உள்ளிடைவெளி விடப்பட்டுள்ளதா எனச் சரிபார்க்கவும்.,Ṣàyẹ̀wò pé gbogbo búlọ́ọ̀kù kódù ni a fi gún inú rẹ̀ déédéé,,
T1-04,A colon is missing at the end of the statement,বিবৃতিটির শেষে একটি কোলন নেই।,कथन के अंत में एक कोलन (कॉलम) गायब है।,هناك نقص في النقطتين الرأسيتين في نهاية العبارة,வாக்கியத்தின் இறுதியில் பெருங்குறி விடுபட்டுள்ளது.,Ifun kan sọnù ní ìparí gbólóhùn náà,,
T1-05,"TypeError: can only concatenate str (not ""int"") to str",TypeError: str এর সাথে শুধুমাত্র str যুক্ত করা যায় (int নয়)।,TypeError: केवल str को ही str से जोड़ा जा सकता है (int को नहीं)।,خطأ في النوع: لا يمكن دمج سوى سلسلة نصية (وليس عددًا صحيحًا) في سلسلة نصية,வகைப்பிழை: str உடன் str-ஐ மட்டுமே இணைக்க முடியும் (int-ஐ அல்ல),"Àṣìṣe Irú: ó lè so str pọ̀ (kì í ṣe ""int"") sí str nìkan",,
T1-06,TypeError: unsupported operand type(s) for +: 'int' and 'str',TypeError: + এর জন্য অসমর্থিত অপারেন্ড টাইপ: 'int' এবং 'str',TypeError: + के लिए असमर्थित ऑपरेंड प्रकार: 'int' और 'str',خطأ في النوع: نوع (أنواع) المعاملات غير مدعومة لعملية الجمع (+): 'int' و 'str',TypeError: + க்கு ஆதரிக்கப்படாத செயலுறுப்பு வகைகள்: 'int' மற்றும் 'str',Àṣìṣe Iru: irú(àwọn) operand tí kò ní àtìlẹ́yìn fún +: 'int' àti 'str',,
T1-07,NameError: name 'x' is not defined,NameError: 'x' নামটি সংজ্ঞায়িত নয়,NameError: नाम 'x' परिभाषित नहीं है,خطأ في الاسم: الاسم 'x' غير مُعرَّف,பெயர் பிழை: 'x' என்ற பெயர் வரையறுக்கப்படவில்லை,Àṣìṣe Orúkọ: a kò ṣàlàyé orúkọ 'x',,
T1-08,UnboundLocalError: local variable referenced before assignment,UnboundLocalError: অ্যাসাইনমেন্টের আগে লোকাল ভেরিয়েবল রেফারেন্স করা হয়েছে,अनबाउंडलोकल त्रुटि: असाइनमेंट से पहले स्थानीय चर का संदर्भ दिया गया,خطأ UnboundLocalError: تمت الإشارة إلى متغير محلي قبل تعيين قيمته.,UnboundLocalError: உள்ளூர் மாறிக்கு மதிப்பு ஒதுக்கப்படுவதற்கு முன்பே அது குறிப்பிடப்பட்டுள்ளது,UnboundLocalError: onírúurú agbègbè tí a tọ́ka sí kí a tó yan iṣẹ́,,
T1-09,Verify that the variable is defined before it is used,ব্যবহারের আগে ভেরিয়েবলটি সংজ্ঞায়িত করা হয়েছে কিনা তা যাচাই করুন।,उपयोग करने से पहले सुनिश्चित करें कि वेरिएबल परिभाषित है।,تأكد من تعريف المتغير قبل استخدامه,"பயன்படுத்துவதற்கு முன், அந்த மாறி வரையறுக்கப்பட்டுள்ளதா என்பதைச் சரிபார்க்கவும்.",Rí i dájú pé a ti ṣàlàyé onírúuru náà kí a tó lò ó.,,
T1-10,IndexError: list index out of range,IndexError: তালিকার সূচক সীমার বাইরে,इंडेक्स त्रुटि: सूची इंडेक्स सीमा से बाहर है,خطأ في الفهرسة: فهرس القائمة خارج النطاق,குறியீட்டுப் பிழை: பட்டியல் குறியீடு வரம்பிற்கு வெளியே உள்ளது,Àṣìṣe Index: àkójọ atọka kò sí ní ìwọ̀n,,
